"ID";"TravelMotives";"Population";"TravelModes";"Margins";"RegionCharacteristics";"Periods";"Trips_1";"DistanceTravelled_2";"TimeTravelled_3";"Trips_4";"DistanceTravelled_5";"TimeTravelled_6"
"6494";"2030170";"A048710";"A018981";"MBG0095";"NL01    ";"2022JJ00";"    0.02";"    0.80";"    1.31";"       7";"     290";"     7.9"
"6499";"2030170";"A048710";"A018981";"MBG0095";"LD01    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6504";"2030170";"A048710";"A018981";"MBG0095";"LD02    ";"2022JJ00";"    0.02";"    0.97";"    1.46";"       7";"     353";"     8.9"
"6509";"2030170";"A048710";"A018981";"MBG0095";"LD03    ";"2022JJ00";"    0.02";"    0.88";"    1.63";"       9";"     323";"     9.9"
"6514";"2030170";"A048710";"A018981";"MBG0095";"LD04    ";"2022JJ00";"    0.01";"    0.74";"    0.99";"       5";"     270";"     6.0"
"6519";"2030170";"A048710";"A018981";"MBG0095";"PV20    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6524";"2030170";"A048710";"A018981";"MBG0095";"PV21    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6529";"2030170";"A048710";"A018981";"MBG0095";"PV22    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6534";"2030170";"A048710";"A018981";"MBG0095";"PV23    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6539";"2030170";"A048710";"A018981";"MBG0095";"PV24    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
